timestamp,marker_id,x_base,y_base,z_base
1777047798.511131,7,-0.088723,-0.085696,0.378696
1777047798.511131,8,-0.113156,-0.108452,0.415692
1777047798.511131,9,-0.106221,-0.038435,0.325417
1777047798.511131,10,-0.128454,-0.059436,0.366243
1777047798.511131,11,-0.152650,-0.082047,0.403074
1777047798.578319,0,0.012680,-0.116010,0.366388
1777047798.578319,1,-0.013991,-0.143567,0.398882
1777047798.578319,2,-0.040185,-0.172942,0.431461
1777047798.578319,3,-0.025530,-0.090422,0.353057
1777047798.578319,4,-0.050200,-0.111970,0.391449
1777047798.578319,5,-0.076037,-0.138090,0.425114
1777047798.578319,6,-0.065727,-0.064205,0.339759
1777047798.578319,7,-0.088723,-0.085696,0.378696
1777047798.578319,8,-0.113156,-0.108452,0.415692
1777047798.578319,9,-0.106221,-0.038435,0.325417
1777047798.578319,10,-0.129631,-0.060797,0.364454
1777047798.578319,11,-0.152650,-0.082047,0.403074
1777047798.645506,0,0.012680,-0.116010,0.366388
1777047798.645506,1,-0.013512,-0.144841,0.397821
1777047798.645506,2,-0.041326,-0.175253,0.430361
1777047798.645506,3,-0.026358,-0.092016,0.351342
1777047798.645506,4,-0.050200,-0.111970,0.391449
1777047798.645506,5,-0.075115,-0.138399,0.425147
1777047798.645506,6,-0.067184,-0.066337,0.337382
1777047798.645506,7,-0.088723,-0.085696,0.378696
1777047798.645506,8,-0.112839,-0.108184,0.415816
1777047798.645506,9,-0.106221,-0.038435,0.325417
1777047798.645506,10,-0.128947,-0.059898,0.365351
1777047798.645506,11,-0.152650,-0.082047,0.403074
1777047798.679100,0,0.012228,-0.117511,0.364757
1777047798.679100,1,-0.013512,-0.144841,0.397821
1777047798.679100,2,-0.041815,-0.177233,0.428851
1777047798.679100,3,-0.026165,-0.091461,0.351834
1777047798.679100,4,-0.049934,-0.111436,0.391656
1777047798.679100,5,-0.075006,-0.138056,0.425279
1777047798.679100,6,-0.065727,-0.064205,0.339759
1777047798.679100,7,-0.088723,-0.085696,0.378696
1777047798.679100,8,-0.113156,-0.108452,0.415692
1777047798.679100,9,-0.107589,-0.039939,0.323416
1777047798.679100,10,-0.129631,-0.060797,0.364454
1777047798.679100,11,-0.152650,-0.082047,0.403074
1777047798.712693,0,0.012680,-0.116010,0.366388
1777047798.712693,1,-0.012666,-0.142376,0.399866
1777047798.712693,2,-0.041070,-0.174936,0.430277
1777047798.712693,3,-0.025532,-0.090372,0.353393
1777047798.712693,4,-0.050200,-0.111970,0.391449
1777047798.712693,5,-0.076526,-0.139223,0.424727
1777047798.712693,6,-0.066356,-0.065328,0.338390
1777047798.712693,7,-0.088992,-0.086442,0.378048
1777047798.712693,8,-0.112735,-0.107842,0.415918
1777047798.712693,9,-0.106221,-0.038435,0.325417
1777047798.712693,10,-0.128454,-0.059436,0.366243
1777047798.712693,11,-0.152650,-0.082047,0.403074
1777047798.746278,0,0.012551,-0.116815,0.365477
1777047798.746278,1,-0.012725,-0.142662,0.399413
1777047798.746278,2,-0.041070,-0.174936,0.430277
1777047798.746278,3,-0.025532,-0.090372,0.353393
1777047798.746278,4,-0.050200,-0.111970,0.391449
1777047798.746278,5,-0.075439,-0.137354,0.425735
1777047798.746278,6,-0.066912,-0.065691,0.337977
1777047798.746278,7,-0.088723,-0.085696,0.378696
1777047798.746278,8,-0.113156,-0.108452,0.415692
1777047798.746278,9,-0.106221,-0.038435,0.325417
1777047798.746278,10,-0.128947,-0.059898,0.365351
1777047798.746278,11,-0.152650,-0.082047,0.403074
1777047798.779873,0,0.012450,-0.116990,0.365500
1777047798.779873,1,-0.012666,-0.142376,0.399866
1777047798.779873,2,-0.041514,-0.176322,0.429305
1777047798.779873,3,-0.025532,-0.090372,0.353393
1777047798.779873,4,-0.050200,-0.111970,0.391449
1777047798.779873,5,-0.075439,-0.137354,0.425735
1777047798.779873,6,-0.066912,-0.065691,0.337977
1777047798.779873,7,-0.088723,-0.085696,0.378696
1777047798.779873,8,-0.113156,-0.108452,0.415692
1777047798.779873,9,-0.106221,-0.038435,0.325417
